Animal,Symptom 1,Symptom 2,Symptom 3,Disease
sheep,loss of appetite,sores on gums,lameness,foot and mouth
sheep,depression,loss of appetite,painless lumps,lumpy virus
goat,chest discomfort,sweats,shortness of breath,anthrax
sheep,sores on gums,loss of appetite,lameness,foot and mouth
cow,swelling in extremities,shortness of breath,chills,anthrax
buffalo,loss of appetite,lameness,blisters on tongue,foot and mouth
goat,swelling in neck,sweats,shortness of breath,anthrax
goat,painless lumps,depression,loss of appetite,lumpy virus
cow,crackling sound,depression,lameness,blackleg
buffalo,swelling in muscle,depression,lameness,blackleg
buffalo,swelling in limb,loss of appetite,depression,blackleg
sheep,difficulty walking,crackling sound,loss of appetite,blackleg
buffalo,depression,loss of appetite,painless lumps,lumpy virus
goat,depression,painless lumps,loss of appetite,pneumonia
sheep,lameness,loss of appetite,blisters on hooves,foot and mouth
buffalo,crackling sound,depression,swelling in muscle,blackleg
buffalo,loss of appetite,depression,painless lumps,lumpy virus
buffalo,swelling in abdomen,chills,shortness of breath,anthrax
buffalo,swelling in limb,depression,lameness,blackleg
goat,loss of appetite,depression,painless lumps,pneumonia
goat,painless lumps,loss of appetite,depression,pneumonia
buffalo,sores on hooves,lameness,loss of appetite,foot and mouth
cow,lameness,swelling in limb,loss of appetite,blackleg
buffalo,loss of appetite,painless lumps,depression,lumpy virus
cow,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,painless lumps,depression,loss of appetite,lumpy virus
cow,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,sweats,chills,chest discomfort,anthrax
goat,depression,painless lumps,loss of appetite,lumpy virus
buffalo,chest discomfort,fatigue,sweats,anthrax
sheep,depression,swelling in limb,lameness,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,swelling in muscle,depression,lameness,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
sheep,chills,swelling in abdomen,shortness of breath,anthrax
cow,chest discomfort,swelling in neck,shortness of breath,anthrax
sheep,shortness of breath,swelling in extremities,sweats,anthrax
goat,chest discomfort,sweats,shortness of breath,anthrax
goat,lameness,loss of appetite,swelling in limb,blackleg
goat,loss of appetite,depression,lameness,blackleg
cow,painless lumps,depression,loss of appetite,lumpy virus
sheep,swelling in muscle,depression,difficulty walking,blackleg
buffalo,swelling in muscle,loss of appetite,crackling sound,blackleg
cow,crackling sound,swelling in limb,difficulty walking,blackleg
goat,swelling in abdomen,fatigue,sweats,anthrax
buffalo,loss of appetite,depression,painless lumps,pneumonia
buffalo,loss of appetite,depression,painless lumps,lumpy virus
cow,depression,loss of appetite,lameness,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,painless lumps,depression,loss of appetite,lumpy virus
cow,difficulty walking,depression,loss of appetite,blackleg
sheep,difficulty walking,swelling in limb,depression,blackleg
sheep,fatigue,chest discomfort,sweats,anthrax
buffalo,depression,painless lumps,loss of appetite,lumpy virus
buffalo,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,depression,loss of appetite,difficulty walking,blackleg
cow,loss of appetite,depression,painless lumps,pneumonia
goat,swelling in muscle,loss of appetite,depression,blackleg
buffalo,painless lumps,loss of appetite,depression,pneumonia
sheep,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,loss of appetite,difficulty walking,crackling sound,blackleg
cow,painless lumps,loss of appetite,depression,pneumonia
goat,fatigue,sweats,swelling in extremities,anthrax
cow,depression,swelling in muscle,loss of appetite,blackleg
goat,crackling sound,swelling in muscle,loss of appetite,blackleg
sheep,crackling sound,swelling in muscle,depression,blackleg
buffalo,difficulty walking,swelling in muscle,depression,blackleg
sheep,loss of appetite,swelling in limb,crackling sound,blackleg
cow,depression,painless lumps,loss of appetite,pneumonia
sheep,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,chills,fatigue,shortness of breath,anthrax
cow,loss of appetite,painless lumps,depression,pneumonia
buffalo,crackling sound,loss of appetite,depression,blackleg
goat,painless lumps,loss of appetite,depression,pneumonia
goat,loss of appetite,lameness,swelling in muscle,blackleg
buffalo,shortness of breath,fatigue,chills,anthrax
sheep,depression,loss of appetite,painless lumps,pneumonia
sheep,chills,chest discomfort,swelling in extremities,anthrax
buffalo,loss of appetite,crackling sound,lameness,blackleg
goat,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,loss of appetite,swelling in muscle,difficulty walking,blackleg
sheep,swelling in limb,depression,crackling sound,blackleg
sheep,painless lumps,loss of appetite,depression,pneumonia
cow,loss of appetite,sores on hooves,lameness,foot and mouth
cow,painless lumps,loss of appetite,depression,pneumonia
cow,fatigue,chest discomfort,shortness of breath,anthrax
sheep,swelling in limb,loss of appetite,depression,blackleg
buffalo,depression,loss of appetite,painless lumps,lumpy virus
sheep,chest discomfort,chills,swelling in neck,anthrax
cow,painless lumps,depression,loss of appetite,pneumonia
sheep,depression,painless lumps,loss of appetite,pneumonia
buffalo,painless lumps,depression,loss of appetite,lumpy virus
sheep,chills,chest discomfort,fatigue,anthrax
buffalo,loss of appetite,lameness,sores on gums,foot and mouth
cow,crackling sound,lameness,loss of appetite,blackleg
goat,loss of appetite,depression,painless lumps,lumpy virus
goat,depression,painless lumps,loss of appetite,lumpy virus
goat,painless lumps,depression,loss of appetite,pneumonia
sheep,crackling sound,loss of appetite,lameness,blackleg
buffalo,chills,chest discomfort,swelling in abdomen,anthrax
sheep,difficulty walking,loss of appetite,sores on gums,foot and mouth
buffalo,loss of appetite,painless lumps,depression,lumpy virus
sheep,swelling in limb,crackling sound,loss of appetite,blackleg
goat,chest discomfort,sweats,fatigue,anthrax
goat,sores on gums,loss of appetite,lameness,foot and mouth
goat,chills,sweats,shortness of breath,anthrax
cow,chest discomfort,shortness of breath,swelling in extremities,anthrax
buffalo,lameness,blisters on gums,loss of appetite,foot and mouth
goat,loss of appetite,depression,painless lumps,pneumonia
sheep,shortness of breath,sweats,fatigue,anthrax
buffalo,chest discomfort,shortness of breath,swelling in abdomen,anthrax
goat,fatigue,chills,chest discomfort,anthrax
cow,swelling in muscle,loss of appetite,difficulty walking,blackleg
buffalo,loss of appetite,painless lumps,depression,lumpy virus
sheep,loss of appetite,swelling in muscle,difficulty walking,blackleg
buffalo,lameness,loss of appetite,sores on mouth,foot and mouth
cow,depression,painless lumps,loss of appetite,lumpy virus
buffalo,loss of appetite,lameness,depression,blackleg
buffalo,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
sheep,swelling in neck,chills,sweats,anthrax
sheep,painless lumps,depression,loss of appetite,pneumonia
sheep,loss of appetite,sores on hooves,lameness,foot and mouth
cow,painless lumps,depression,loss of appetite,pneumonia
cow,swelling in abdomen,fatigue,chills,anthrax
buffalo,depression,loss of appetite,painless lumps,pneumonia
cow,chills,sweats,fatigue,anthrax
sheep,sweats,chest discomfort,shortness of breath,anthrax
goat,loss of appetite,depression,painless lumps,lumpy virus
sheep,chills,swelling in extremities,fatigue,anthrax
buffalo,painless lumps,loss of appetite,depression,lumpy virus
buffalo,swelling in extremities,sweats,chest discomfort,anthrax
goat,painless lumps,loss of appetite,depression,lumpy virus
sheep,difficulty walking,sores on hooves,loss of appetite,foot and mouth
goat,painless lumps,depression,loss of appetite,lumpy virus
sheep,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
sheep,painless lumps,depression,loss of appetite,lumpy virus
cow,loss of appetite,difficulty walking,sores on tongue,foot and mouth
cow,loss of appetite,sores on hooves,lameness,foot and mouth
buffalo,loss of appetite,painless lumps,depression,lumpy virus
cow,sweats,chills,swelling in abdomen,anthrax
buffalo,loss of appetite,depression,painless lumps,lumpy virus
cow,loss of appetite,painless lumps,depression,pneumonia
sheep,fatigue,chills,shortness of breath,anthrax
goat,loss of appetite,difficulty walking,crackling sound,blackleg
cow,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,depression,loss of appetite,painless lumps,lumpy virus
cow,chest discomfort,shortness of breath,swelling in neck,anthrax
cow,loss of appetite,depression,painless lumps,pneumonia
buffalo,difficulty walking,loss of appetite,crackling sound,blackleg
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
cow,lameness,sores on hooves,loss of appetite,foot and mouth
buffalo,difficulty walking,depression,loss of appetite,blackleg
cow,chest discomfort,swelling in extremities,shortness of breath,anthrax
goat,depression,crackling sound,swelling in muscle,blackleg
cow,difficulty walking,loss of appetite,crackling sound,blackleg
sheep,loss of appetite,swelling in limb,crackling sound,blackleg
buffalo,difficulty walking,crackling sound,swelling in muscle,blackleg
sheep,shortness of breath,chills,sweats,anthrax
sheep,sores on mouth,lameness,loss of appetite,foot and mouth
cow,sweats,chest discomfort,swelling in extremities,anthrax
cow,swelling in abdomen,fatigue,sweats,anthrax
sheep,crackling sound,swelling in limb,depression,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,swelling in muscle,crackling sound,depression,blackleg
goat,loss of appetite,depression,painless lumps,lumpy virus
goat,difficulty walking,loss of appetite,sores on gums,foot and mouth
sheep,shortness of breath,chest discomfort,fatigue,anthrax
sheep,crackling sound,loss of appetite,swelling in limb,blackleg
buffalo,loss of appetite,depression,painless lumps,lumpy virus
goat,loss of appetite,painless lumps,depression,pneumonia
cow,painless lumps,depression,loss of appetite,pneumonia
cow,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,painless lumps,depression,lumpy virus
goat,loss of appetite,depression,difficulty walking,blackleg
sheep,loss of appetite,depression,painless lumps,lumpy virus
buffalo,painless lumps,depression,loss of appetite,pneumonia
buffalo,loss of appetite,painless lumps,depression,pneumonia
goat,painless lumps,loss of appetite,depression,lumpy virus
cow,lameness,loss of appetite,depression,blackleg
buffalo,crackling sound,loss of appetite,swelling in limb,blackleg
cow,blisters on gums,loss of appetite,difficulty walking,foot and mouth
cow,depression,loss of appetite,painless lumps,lumpy virus
cow,painless lumps,loss of appetite,depression,lumpy virus
sheep,painless lumps,depression,loss of appetite,pneumonia
sheep,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,lameness,swelling in muscle,blackleg
cow,depression,loss of appetite,painless lumps,lumpy virus
buffalo,painless lumps,loss of appetite,depression,pneumonia
goat,loss of appetite,depression,painless lumps,pneumonia
sheep,chills,swelling in extremities,sweats,anthrax
sheep,chills,fatigue,swelling in abdomen,anthrax
sheep,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
cow,difficulty walking,sores on tongue,loss of appetite,foot and mouth
buffalo,depression,loss of appetite,swelling in muscle,blackleg
buffalo,depression,crackling sound,swelling in muscle,blackleg
goat,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
cow,swelling in limb,crackling sound,depression,blackleg
cow,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
buffalo,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
goat,painless lumps,loss of appetite,depression,pneumonia
buffalo,sores on tongue,lameness,loss of appetite,foot and mouth
sheep,swelling in limb,lameness,crackling sound,blackleg
sheep,loss of appetite,depression,painless lumps,pneumonia
buffalo,chills,sweats,fatigue,anthrax
buffalo,depression,lameness,swelling in muscle,blackleg
sheep,loss of appetite,sores on gums,lameness,foot and mouth
goat,loss of appetite,painless lumps,depression,pneumonia
buffalo,fatigue,sweats,chills,anthrax
sheep,painless lumps,loss of appetite,depression,lumpy virus
cow,difficulty walking,sores on mouth,loss of appetite,foot and mouth
goat,difficulty walking,sores on tongue,loss of appetite,foot and mouth
goat,painless lumps,loss of appetite,depression,pneumonia
buffalo,loss of appetite,depression,difficulty walking,blackleg
goat,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
buffalo,loss of appetite,painless lumps,depression,pneumonia
cow,loss of appetite,depression,painless lumps,pneumonia
sheep,depression,loss of appetite,crackling sound,blackleg
goat,sweats,chills,swelling in extremities,anthrax
cow,swelling in extremities,shortness of breath,sweats,anthrax
sheep,depression,painless lumps,loss of appetite,lumpy virus
sheep,swelling in limb,crackling sound,difficulty walking,blackleg
goat,painless lumps,loss of appetite,depression,pneumonia
buffalo,painless lumps,depression,loss of appetite,lumpy virus
cow,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,depression,loss of appetite,painless lumps,lumpy virus
goat,sores on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,painless lumps,depression,loss of appetite,lumpy virus
sheep,painless lumps,depression,loss of appetite,pneumonia
buffalo,sweats,shortness of breath,chills,anthrax
sheep,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
buffalo,depression,painless lumps,loss of appetite,lumpy virus
buffalo,chest discomfort,shortness of breath,sweats,anthrax
cow,painless lumps,loss of appetite,depression,lumpy virus
cow,depression,loss of appetite,painless lumps,lumpy virus
buffalo,crackling sound,depression,lameness,blackleg
sheep,swelling in muscle,depression,lameness,blackleg
goat,painless lumps,depression,loss of appetite,pneumonia
sheep,lameness,loss of appetite,sores on mouth,foot and mouth
goat,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
sheep,shortness of breath,sweats,swelling in extremities,anthrax
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,lameness,sores on tongue,loss of appetite,foot and mouth
sheep,blisters on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,depression,difficulty walking,swelling in limb,blackleg
sheep,depression,painless lumps,loss of appetite,pneumonia
buffalo,shortness of breath,fatigue,swelling in extremities,anthrax
buffalo,shortness of breath,chest discomfort,swelling in neck,anthrax
cow,loss of appetite,sores on hooves,difficulty walking,foot and mouth
sheep,loss of appetite,depression,painless lumps,lumpy virus
goat,fatigue,shortness of breath,chills,anthrax
sheep,painless lumps,loss of appetite,depression,lumpy virus
cow,loss of appetite,depression,painless lumps,pneumonia
goat,loss of appetite,depression,painless lumps,pneumonia
sheep,difficulty walking,sores on mouth,loss of appetite,foot and mouth
buffalo,painless lumps,loss of appetite,depression,pneumonia
goat,loss of appetite,depression,painless lumps,lumpy virus
buffalo,sores on mouth,loss of appetite,difficulty walking,foot and mouth
cow,painless lumps,loss of appetite,depression,pneumonia
buffalo,sores on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
cow,depression,loss of appetite,lameness,blackleg
sheep,depression,loss of appetite,painless lumps,lumpy virus
cow,painless lumps,loss of appetite,depression,lumpy virus
buffalo,swelling in extremities,shortness of breath,chills,anthrax
goat,lameness,blisters on gums,loss of appetite,foot and mouth
buffalo,swelling in muscle,depression,crackling sound,blackleg
cow,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
cow,depression,loss of appetite,painless lumps,pneumonia
goat,sores on mouth,difficulty walking,loss of appetite,foot and mouth
goat,loss of appetite,lameness,blisters on gums,foot and mouth
cow,loss of appetite,depression,painless lumps,pneumonia
goat,swelling in extremities,chills,sweats,anthrax
sheep,loss of appetite,depression,painless lumps,pneumonia
buffalo,difficulty walking,sores on mouth,loss of appetite,foot and mouth
sheep,fatigue,shortness of breath,sweats,anthrax
goat,chest discomfort,shortness of breath,fatigue,anthrax
cow,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,chills,fatigue,swelling in abdomen,anthrax
cow,loss of appetite,difficulty walking,sores on tongue,foot and mouth
cow,shortness of breath,chills,chest discomfort,anthrax
buffalo,swelling in neck,fatigue,shortness of breath,anthrax
goat,lameness,sores on mouth,loss of appetite,foot and mouth
cow,loss of appetite,depression,painless lumps,pneumonia
cow,chest discomfort,sweats,fatigue,anthrax
cow,swelling in limb,difficulty walking,loss of appetite,blackleg
cow,loss of appetite,painless lumps,depression,lumpy virus
cow,loss of appetite,depression,painless lumps,pneumonia
goat,sores on mouth,difficulty walking,loss of appetite,foot and mouth
goat,shortness of breath,sweats,fatigue,anthrax
cow,chills,swelling in abdomen,shortness of breath,anthrax
cow,chills,swelling in abdomen,fatigue,anthrax
goat,swelling in muscle,lameness,crackling sound,blackleg
cow,painless lumps,depression,loss of appetite,pneumonia
buffalo,loss of appetite,swelling in limb,depression,blackleg
cow,swelling in abdomen,chest discomfort,fatigue,anthrax
goat,difficulty walking,loss of appetite,blisters on gums,foot and mouth
buffalo,loss of appetite,painless lumps,depression,lumpy virus
goat,swelling in abdomen,chills,fatigue,anthrax
buffalo,depression,loss of appetite,painless lumps,lumpy virus
cow,lameness,loss of appetite,blisters on gums,foot and mouth
sheep,sweats,shortness of breath,chills,anthrax
goat,shortness of breath,swelling in neck,fatigue,anthrax
goat,chest discomfort,fatigue,swelling in abdomen,anthrax
goat,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,fatigue,swelling in extremities,chills,anthrax
goat,depression,painless lumps,loss of appetite,pneumonia
sheep,loss of appetite,depression,painless lumps,lumpy virus
buffalo,depression,painless lumps,loss of appetite,pneumonia
goat,loss of appetite,painless lumps,depression,pneumonia
buffalo,depression,crackling sound,difficulty walking,blackleg
buffalo,crackling sound,swelling in muscle,depression,blackleg
goat,crackling sound,depression,loss of appetite,blackleg
cow,difficulty walking,loss of appetite,sores on gums,foot and mouth
cow,loss of appetite,painless lumps,depression,lumpy virus
cow,loss of appetite,lameness,swelling in limb,blackleg
goat,depression,painless lumps,loss of appetite,lumpy virus
cow,chills,sweats,fatigue,anthrax
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,sweats,chills,fatigue,anthrax
cow,loss of appetite,depression,painless lumps,lumpy virus
buffalo,loss of appetite,depression,painless lumps,lumpy virus
buffalo,sweats,shortness of breath,swelling in abdomen,anthrax
goat,chills,fatigue,swelling in abdomen,anthrax
buffalo,crackling sound,loss of appetite,swelling in muscle,blackleg
sheep,crackling sound,depression,swelling in limb,blackleg
buffalo,loss of appetite,depression,painless lumps,lumpy virus
sheep,chest discomfort,chills,fatigue,anthrax
goat,depression,painless lumps,loss of appetite,pneumonia
sheep,difficulty walking,depression,loss of appetite,blackleg
cow,blisters on gums,difficulty walking,loss of appetite,foot and mouth
cow,depression,loss of appetite,painless lumps,pneumonia
goat,painless lumps,loss of appetite,depression,lumpy virus
buffalo,painless lumps,depression,loss of appetite,pneumonia
sheep,chills,fatigue,chest discomfort,anthrax
cow,painless lumps,depression,loss of appetite,lumpy virus
cow,depression,lameness,crackling sound,blackleg
goat,painless lumps,loss of appetite,depression,lumpy virus
cow,crackling sound,loss of appetite,difficulty walking,blackleg
cow,fatigue,shortness of breath,chills,anthrax
buffalo,loss of appetite,depression,painless lumps,lumpy virus
cow,painless lumps,loss of appetite,depression,pneumonia
buffalo,painless lumps,loss of appetite,depression,pneumonia
goat,loss of appetite,difficulty walking,sores on hooves,foot and mouth
cow,painless lumps,depression,loss of appetite,pneumonia
goat,painless lumps,loss of appetite,depression,lumpy virus
sheep,fatigue,shortness of breath,chest discomfort,anthrax
cow,sores on hooves,loss of appetite,difficulty walking,foot and mouth
cow,depression,loss of appetite,painless lumps,lumpy virus
buffalo,fatigue,shortness of breath,sweats,anthrax
goat,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
cow,loss of appetite,painless lumps,depression,pneumonia
buffalo,difficulty walking,crackling sound,loss of appetite,blackleg
goat,depression,painless lumps,loss of appetite,lumpy virus
sheep,swelling in limb,difficulty walking,crackling sound,blackleg
cow,depression,difficulty walking,loss of appetite,blackleg
cow,depression,painless lumps,loss of appetite,pneumonia
cow,chest discomfort,fatigue,sweats,anthrax
cow,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
goat,loss of appetite,lameness,blisters on hooves,foot and mouth
goat,crackling sound,swelling in limb,depression,blackleg
sheep,lameness,loss of appetite,blisters on mouth,foot and mouth
sheep,sores on hooves,loss of appetite,lameness,foot and mouth
buffalo,loss of appetite,depression,painless lumps,lumpy virus
buffalo,loss of appetite,painless lumps,depression,lumpy virus
cow,painless lumps,loss of appetite,depression,pneumonia
goat,swelling in neck,chest discomfort,sweats,anthrax
sheep,sweats,swelling in extremities,shortness of breath,anthrax
cow,loss of appetite,depression,painless lumps,lumpy virus
cow,chills,shortness of breath,swelling in abdomen,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
buffalo,painless lumps,depression,loss of appetite,pneumonia
goat,depression,loss of appetite,painless lumps,pneumonia
buffalo,blisters on mouth,loss of appetite,lameness,foot and mouth
sheep,lameness,swelling in muscle,loss of appetite,blackleg
cow,swelling in limb,loss of appetite,crackling sound,blackleg
goat,loss of appetite,difficulty walking,sores on gums,foot and mouth
sheep,sores on gums,difficulty walking,loss of appetite,foot and mouth
cow,chest discomfort,chills,swelling in abdomen,anthrax
cow,blisters on mouth,loss of appetite,lameness,foot and mouth
goat,depression,painless lumps,loss of appetite,lumpy virus
cow,depression,painless lumps,loss of appetite,lumpy virus
cow,depression,crackling sound,swelling in muscle,blackleg
goat,depression,loss of appetite,painless lumps,lumpy virus
buffalo,shortness of breath,sweats,swelling in abdomen,anthrax
cow,chills,swelling in extremities,shortness of breath,anthrax
buffalo,lameness,depression,loss of appetite,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,lameness,swelling in limb,loss of appetite,blackleg
cow,loss of appetite,painless lumps,depression,lumpy virus
cow,crackling sound,depression,lameness,blackleg
buffalo,sweats,chills,chest discomfort,anthrax
buffalo,painless lumps,loss of appetite,depression,lumpy virus
goat,sweats,chills,chest discomfort,anthrax
buffalo,loss of appetite,painless lumps,depression,pneumonia
cow,painless lumps,depression,loss of appetite,lumpy virus
buffalo,loss of appetite,depression,painless lumps,lumpy virus
buffalo,blisters on hooves,lameness,loss of appetite,foot and mouth
cow,sores on hooves,difficulty walking,loss of appetite,foot and mouth
goat,loss of appetite,sores on gums,lameness,foot and mouth
sheep,depression,painless lumps,loss of appetite,lumpy virus
sheep,shortness of breath,chills,sweats,anthrax
goat,sweats,chest discomfort,chills,anthrax
goat,painless lumps,loss of appetite,depression,pneumonia
sheep,painless lumps,depression,loss of appetite,lumpy virus
cow,swelling in limb,depression,difficulty walking,blackleg
goat,depression,painless lumps,loss of appetite,lumpy virus
goat,loss of appetite,painless lumps,depression,pneumonia
sheep,loss of appetite,depression,painless lumps,pneumonia
cow,painless lumps,loss of appetite,depression,pneumonia
buffalo,depression,painless lumps,loss of appetite,pneumonia
sheep,sweats,swelling in abdomen,fatigue,anthrax
cow,depression,loss of appetite,painless lumps,lumpy virus
cow,painless lumps,depression,loss of appetite,pneumonia
goat,crackling sound,depression,lameness,blackleg
sheep,depression,loss of appetite,painless lumps,pneumonia
sheep,loss of appetite,painless lumps,depression,lumpy virus
cow,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,lameness,depression,swelling in muscle,blackleg
goat,depression,loss of appetite,painless lumps,pneumonia
cow,chills,chest discomfort,shortness of breath,anthrax
buffalo,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,depression,painless lumps,loss of appetite,pneumonia
sheep,blisters on gums,loss of appetite,lameness,foot and mouth
buffalo,loss of appetite,painless lumps,depression,lumpy virus
cow,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
cow,loss of appetite,depression,painless lumps,pneumonia
buffalo,difficulty walking,blisters on gums,loss of appetite,foot and mouth
buffalo,loss of appetite,painless lumps,depression,lumpy virus
buffalo,chills,chest discomfort,fatigue,anthrax
cow,depression,painless lumps,loss of appetite,lumpy virus
cow,difficulty walking,sores on tongue,loss of appetite,foot and mouth
goat,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
goat,painless lumps,depression,loss of appetite,pneumonia
cow,painless lumps,loss of appetite,depression,lumpy virus
sheep,chills,fatigue,sweats,anthrax
cow,swelling in muscle,loss of appetite,crackling sound,blackleg
goat,chest discomfort,swelling in extremities,chills,anthrax
buffalo,shortness of breath,fatigue,sweats,anthrax
cow,loss of appetite,swelling in muscle,crackling sound,blackleg
buffalo,painless lumps,depression,loss of appetite,pneumonia
sheep,depression,painless lumps,loss of appetite,pneumonia
cow,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,fatigue,swelling in neck,chest discomfort,anthrax
buffalo,loss of appetite,depression,painless lumps,pneumonia
sheep,loss of appetite,difficulty walking,sores on mouth,foot and mouth
cow,painless lumps,loss of appetite,depression,lumpy virus
sheep,sweats,chills,shortness of breath,anthrax
sheep,sweats,chest discomfort,swelling in extremities,anthrax
buffalo,chills,shortness of breath,swelling in abdomen,anthrax
cow,swelling in muscle,lameness,loss of appetite,blackleg
buffalo,depression,loss of appetite,painless lumps,lumpy virus
buffalo,chills,sweats,chest discomfort,anthrax
buffalo,chest discomfort,shortness of breath,chills,anthrax
cow,loss of appetite,depression,painless lumps,pneumonia
buffalo,loss of appetite,depression,painless lumps,lumpy virus
cow,loss of appetite,lameness,blisters on mouth,foot and mouth
goat,crackling sound,difficulty walking,loss of appetite,blackleg
sheep,sores on gums,difficulty walking,loss of appetite,foot and mouth
cow,painless lumps,loss of appetite,depression,pneumonia
goat,painless lumps,depression,loss of appetite,pneumonia
cow,loss of appetite,sores on tongue,lameness,foot and mouth
buffalo,lameness,sores on gums,loss of appetite,foot and mouth
sheep,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,crackling sound,depression,loss of appetite,blackleg
goat,painless lumps,depression,loss of appetite,pneumonia
sheep,painless lumps,depression,loss of appetite,lumpy virus
buffalo,loss of appetite,lameness,blisters on tongue,foot and mouth
buffalo,depression,loss of appetite,painless lumps,pneumonia
buffalo,chills,swelling in extremities,chest discomfort,anthrax
buffalo,lameness,loss of appetite,depression,blackleg
sheep,fatigue,chills,swelling in neck,anthrax
goat,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
sheep,loss of appetite,depression,painless lumps,pneumonia
sheep,loss of appetite,depression,painless lumps,lumpy virus
cow,swelling in abdomen,chills,sweats,anthrax
goat,sores on gums,loss of appetite,lameness,foot and mouth
goat,loss of appetite,lameness,sores on tongue,foot and mouth
sheep,swelling in neck,chills,sweats,anthrax
buffalo,depression,painless lumps,loss of appetite,pneumonia
cow,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
goat,depression,loss of appetite,painless lumps,lumpy virus
cow,fatigue,chills,chest discomfort,anthrax
cow,chills,shortness of breath,chest discomfort,anthrax
buffalo,loss of appetite,painless lumps,depression,lumpy virus
buffalo,loss of appetite,painless lumps,depression,pneumonia
sheep,painless lumps,depression,loss of appetite,pneumonia
goat,shortness of breath,fatigue,chest discomfort,anthrax
goat,shortness of breath,chills,swelling in extremities,anthrax
sheep,chills,chest discomfort,fatigue,anthrax
cow,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,depression,crackling sound,blackleg
cow,depression,crackling sound,loss of appetite,blackleg
buffalo,sweats,chest discomfort,shortness of breath,anthrax
buffalo,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
cow,loss of appetite,depression,painless lumps,lumpy virus
cow,loss of appetite,swelling in limb,crackling sound,blackleg
sheep,lameness,sores on gums,loss of appetite,foot and mouth
sheep,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
buffalo,difficulty walking,loss of appetite,sores on tongue,foot and mouth
goat,depression,crackling sound,loss of appetite,blackleg
goat,crackling sound,depression,loss of appetite,blackleg
sheep,painless lumps,loss of appetite,depression,pneumonia
cow,loss of appetite,difficulty walking,swelling in muscle,blackleg
cow,sweats,chest discomfort,fatigue,anthrax
goat,loss of appetite,depression,painless lumps,lumpy virus
cow,crackling sound,loss of appetite,depression,blackleg
sheep,lameness,swelling in muscle,crackling sound,blackleg
cow,depression,painless lumps,loss of appetite,pneumonia
buffalo,chest discomfort,chills,swelling in abdomen,anthrax
sheep,depression,loss of appetite,painless lumps,lumpy virus
goat,depression,loss of appetite,painless lumps,pneumonia
goat,difficulty walking,loss of appetite,sores on mouth,foot and mouth
cow,depression,painless lumps,loss of appetite,lumpy virus
buffalo,loss of appetite,painless lumps,depression,pneumonia
goat,painless lumps,depression,loss of appetite,pneumonia
